[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:6, Y:4, Z:37]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:7, Y:4, Z:38]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:8, Y:4, Z:39]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:9, Y:4, Z:40]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:10, Y:4, Z:41]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:11, Y:4, Z:42]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:12, Y:4, Z:43]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:13, Y:4, Z:44]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:14, Y:4, Z:45]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:15, Y:4, Z:46]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:16, Y:4, Z:47]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:17, Y:4, Z:48]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:18, Y:5, Z:48]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:19, Y:5, Z:48]
[22:27:09.655] [T1] [DS=False] DEBUG | Path to target:
[22:27:09.655] [T1] [DS=False] DEBUG |  -> [X:5, Y:-2, Z:24]
[22:27:09.655] [T1] [DS=False] DEBUG |  -> [X:6, Y:-2, Z:25]
[22:27:09.655] [T1] [DS=False] DEBUG |  -> [X:7, Y:-2, Z:25]
[22:27:09.655] [T1] [DS=False] DEBUG |  -> [X:8, Y:-2, Z:25]
[22:27:09.655] [T1] [DS=False] DEBUG |  -> [X:9, Y:-2, Z:26]
[22:27:09.655] [T1] [DS=False] DEBUG |  -> [X:10, Y:-2, Z:26]
[22:27:09.655] [T1] [DS=False] DEBUG |  -> [X:11, Y:-2, Z:27]
